ID,Local_ID,Language_ID,Parameter_ID,Value,Form	Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,NumeralAnalysis
kalasha-1,,kalasha,1_one,ek,ek,,,,,,,,
kalasha-2,,kalasha,2_two,du,du,,,,,,,,
kalasha-3,,kalasha,3_three,tre,tre,,,,,,,,
kalasha-4,,kalasha,4_four,čaw,čaw,,,,,,,,
kalasha-5,,kalasha,5_five,ponǰ,ponǰ,,,,,,,,
kalasha-6,,kalasha,6_six,ṣo,ṣo,,,,,,,,
kalasha-7,,kalasha,7_seven,sat,sat,,,,,,,,
kalasha-8,,kalasha,8_eight,aṣṭ,aṣṭ,,,,,,,,
kalasha-9,,kalasha,9_nine,no,no,,,,,,,,
kalasha-10,,kalasha,10_ten,daš,daš,,,,,,,,
kalasha-11,,kalasha,11_eleven,dažeék,dažeék,,,,,,,,
kalasha-12,,kalasha,12_twelve,dažedú,dažedú,,,,,,,,
kalasha-13,,kalasha,13_thirteen,dažetré,dažetré,,,,,,,,
kalasha-14,,kalasha,14_fourteen,dažečáw,dažečáw,,,,,,,,
kalasha-15,,kalasha,15_fifteen,dažepónǰ,dažepónǰ,,,,,,,,
kalasha-16,,kalasha,16_sixteen,dažeṣó,dažeṣó,,,,,,,,
kalasha-17,,kalasha,17_seventeen,dažesát,dažesát,,,,,,,,
kalasha-18,,kalasha,18_eighteen,dažeáṣṭ,dažeáṣṭ,,,,,,,,
kalasha-19,,kalasha,19_nineteen,daženó,daženó,,,,,,,,
kalasha-20,,kalasha,20_twenty,bíši,bíši,,,,,,,,
kalasha-21,,kalasha,21_twentyone,bišižeék,bišižeék,,,,,,,,
kalasha-22,,kalasha,22_twentytwo,bišižedú,bišižedú,,,,,,,,
kalasha-23,,kalasha,23_twentythree,bišižetré,bišižetré,,,,,,,,
kalasha-24,,kalasha,24_twentyfour,bišižečáw,bišižečáw,,,,,,,,
kalasha-25,,kalasha,25_twentyfive,bišižepónǰ,bišižepónǰ,,,,,,,,
kalasha-26,,kalasha,26_twentysix,bišižeṣó,bišižeṣó,,,,,,,,
kalasha-27,,kalasha,27_twentyseven,bišižesát,bišižesát,,,,,,,,
kalasha-28,,kalasha,28_twentyeight,bišižeáṣṭ,bišižeáṣṭ,,,,,,,,
kalasha-29,,kalasha,29_twentynine,bišiženó,bišiženó,,,,,,,,
kalasha-30,,kalasha,30_thirty,bišižedáš,bišižedáš,,,,,,,,
kalasha-31,,kalasha,31_thirtyone,bišižedašéga,bišižedašéga,,,,,,,,
kalasha-32,,kalasha,32_thirtytwo,bišižedašedúa,bišižedašedúa,,,,,,,,
kalasha-33,,kalasha,33_thirtythree,bišižedašetré,bišižedašetré,,,,,,,,
kalasha-34,,kalasha,34_thirtyfour,bišižedašečáw,bišižedašečáw,,,,,,,,
kalasha-35,,kalasha,35_thirtyfive,bišižedašepónǰ,bišižedašepónǰ,,,,,,,,
kalasha-36,,kalasha,36_thirtysix,bišižedašeṣó,bišižedašeṣó,,,,,,,,
