language	number	form	predicted	WER	PER
Adi	01	ɑtəl	ɑppilŋokolɑŋɑtəl	1	0.75
Adi	02	ɑɲɲi	ɑŋɑɳɳi	1	0.6666666666666666
Adi	03	ɑŋum	ɑppilŋokolɑŋɑŋum	1	0.75
Adi	04	ɑppi	pi	1	0.5
Adi	05	pilŋo	ɑppilŋo	1	0.2857142857142857
Adi	06	ɑkke	ɑŋɑɑkke	1	0.42857142857142855
Adi	07	kɨnɨt	ɑɲɲikolɑŋkɨnɨt	1	0.6428571428571429
Adi	08	pɨ:ɲi	ɑŋpɨ:ɲi	1	0.2857142857142857
Adi	09	konɑŋ	ɑŋkonɑŋ	1	0.2857142857142857
Adi	10	ɨjiŋ	ɨjiŋkolɑŋ	1	0.5555555555555556
Adi	11	ɨjiŋkolɑŋɑtəl	ɨjiŋkolɑŋɑtəl	0	0.0
Adi	12	ɨjiŋkolɑŋɑɲɲi	ɨjiŋkolɑŋɑɳɳi	1	0.15384615384615385
Adi	13	ɨjiŋkolɑŋɑŋum	ɨjiŋkolɑŋɑŋum	0	0.0
Adi	14	ɨjiŋkolɑŋɑppi	ɨjiŋkolɑŋɑppi	0	0.0
Adi	15	ɨjiŋkolɑŋpilŋo	ɨjiŋkolɑŋpilŋo	0	0.0
Adi	16	ɨjiŋkolɑŋɑkke	ɨjiŋkolɑŋɑɑkke	1	0.07142857142857142
Adi	17	ɨjiŋkolɑŋkɨnɨt	ɨjiŋkolɑŋkɨnɨt	0	0.0
Adi	18	ɨjiŋkolɑŋpɨ:ɲi	ɨjiŋkolɑŋpɨ:ɲi	0	0.0
Adi	19	ɨjiŋkolɑŋkonɑŋ	ɨjiŋkolɑŋ	1	0.35714285714285715
Adi	20	ɨjiŋɑɲɲi	ɨjiŋɑɲɲikonɑŋ	1	0.38461538461538464
Adi	21	ɨjiŋɑɲɲikolɑŋɑtəl	ɨjiŋɑɲɲikolɑŋɑtəl	0	0.0
Adi	22	ɨjiŋɑɲɲikolɑŋɑɲɲi	ɨjiŋɑɲɲikolɑŋɑɳɳi	1	0.11764705882352941
Adi	23	ɨjiŋɑɲɲikolɑŋɑŋum	ɨjiŋɑŋɑɲɲikolɑŋum	1	0.23529411764705882
Adi	24	ɨjiŋɑɲɲikolɑŋɑppi	ɨjiŋɑɲɲikolɑŋɑppi	0	0.0
Adi	25	ɨjiŋɑɲɲikolɑŋpilŋo	ɨjiŋɑɲɲikolɑŋpilŋo	0	0.0
Adi	26	ɨjiŋɑɲɲikolɑŋɑkke	ɨjiŋɑɲɲikolɑŋɑkke	0	0.0
Adi	27	ɨjiŋɑɲɲikolɑŋkɨnɨt	ɨjiŋɑɲɲikolɑŋkɨnɨt	0	0.0
Adi	28	ɨjiŋɑɲɲikolɑŋpɨ:ɲi	ɨjiŋɑɲɲikolɑŋpɨ:ɲi	0	0.0
Adi	29	ɨjiŋɑɲɲikolɑŋkonɑŋ	ɨjiŋɑɲɲikonɑŋkolɑŋ	1	0.1111111111111111
Adi	30	ɨjiŋɑŋum	ɨjiŋɑŋumkonɑŋ	1	0.38461538461538464
Adi	31	ɨjiŋɑŋumkolɑŋɑtəl	ɨjiŋɑŋumkolɑŋɑtəl	0	0.0
Adi	32	ɨjiŋɑŋumkolɑŋɑɲɲi	ɨjiŋɑŋumkolɑŋɑɳɳi	1	0.11764705882352941
Adi	33	ɨjiŋɑŋumkolɑŋɑŋum	ɨjiŋɑŋɑŋumkolɑŋum	1	0.23529411764705882
Adi	34	ɨjiŋɑŋumkolɑŋɑppi	ɨjiŋɑŋumkolɑŋɑppi	0	0.0
Adi	35	ɨjiŋɑŋumkolɑŋpilŋo	ɨjiŋɑŋumkolɑŋpilŋo	0	0.0
Adi	36	ɨjiŋɑŋumkolɑŋɑkke	ɨjiŋɑŋumkolɑŋɑkke	0	0.0
Adi	37	ɨjiŋɑŋumkolɑŋkɨnɨt	ɨjiŋɑŋumkolɑŋkɨnɨt	0	0.0
Adi	38	ɨjiŋɑŋumkolɑŋpɨ:ɲi	ɨjiŋɑŋumkolɑŋpɨ:ɲi	0	0.0
Adi	39	ɨjiŋɑŋumkolɑŋkonɑŋ	ɨjiŋɑŋumkolɑŋ	1	0.2777777777777778
Adi	40	ɨjiŋɑppi	ɨjiŋɑppikonɑŋ	1	0.38461538461538464
Adi	41	ɨjiŋɑppikolɑŋɑtəl	ɨjiŋɑppikolɑŋɑtəl	0	0.0
Adi	42	ɨjiŋɑppikolɑŋɑɲɲi	ɨjiŋɑppikolɑŋɑɳɳi	1	0.11764705882352941
Adi	43	ɨjiŋɑppikolɑŋɑŋum	ɨjiŋɑŋɑppikolɑŋum	1	0.23529411764705882
Adi	44	ɨjiŋɑppikolɑŋɑppi	ɨjiŋɑppikolɑŋɑppi	0	0.0
Adi	45	ɨjiŋɑppikolɑŋpilŋo	ɨjiŋɑppikolɑŋpilŋo	0	0.0
Adi	46	ɨjiŋɑppikolɑŋɑkke	ɨjiŋɑppikolɑŋɑkke	0	0.0
Adi	47	ɨjiŋɑppikolɑŋkɨnɨt	ɨjiŋɑppikolɑŋkɨnɨt	0	0.0
Adi	48	ɨjiŋɑppikolɑŋpɨ:ɲi	ɨjiŋɑppikolɑŋpɨ:ɲi	0	0.0
Adi	49	ɨjiŋɑppikolɑŋkonɑŋ	ɨjiŋɑppikonɑŋkolɑŋ	1	0.1111111111111111
Adi	50	ɨjiŋpilŋo	ɨjiŋpilŋokonɑŋ	1	0.35714285714285715
Adi	51	ɨjiŋpilŋokolɑŋɑtəl	ɨjiŋpilŋokolɑŋɑtəl	0	0.0
Adi	52	ɨjiŋpilŋokolɑŋɑɲɲi	ɨjiŋpilŋokolɑŋɑɳɳi	1	0.1111111111111111
Adi	53	ɨjiŋpilŋokolɑŋɑŋum	ɨjiŋpilŋokolɑŋɑŋum	0	0.0
Adi	54	ɨjiŋpilŋokolɑŋɑppi	ɨjiŋpilŋokolɑŋɑppi	0	0.0
Adi	55	ɨjiŋpilŋokolɑŋpilŋo	ɨjiŋpilŋokolɑŋpilŋo	0	0.0
Adi	56	ɨjiŋpilŋokolɑŋɑkke	ɨjiŋpilŋokolɑŋɑɑkke	1	0.05263157894736842
Adi	57	ɨjiŋpilŋokolɑŋkɨnɨt	ɨjiŋpilŋokolɑŋkɨnɨt	0	0.0
Adi	58	ɨjiŋpilŋokolɑŋpɨ:ɲi	ɨjiŋpilŋokolɑŋpɨ:ɲi	0	0.0
Adi	59	ɨjiŋpilŋokolɑŋkonɑŋ	ɨjiŋpilŋokonɑŋkolɑŋ	1	0.10526315789473684
Adi	60	ɨjiŋɑkke	ɨjiŋɑkkekonɑŋ	1	0.38461538461538464
Adi	61	ɨjiŋɑkkekolɑŋɑtəl	ɨjiŋɑkkekolɑŋɑtəl	0	0.0
Adi	62	ɨjiŋɑkkekolɑŋɑɳɳi	ɨjiŋɑkkekolɑŋɑɲɲi	1	0.11764705882352941
Adi	63	ɨjiŋɑkkekolɑŋɑŋum	ɨjiŋɑŋɑkkekolɑŋum	1	0.23529411764705882
