language	number	form	predicted	WER	PER
ace	01	sa	siblapan	1	0.75
ace	02	duwa	limongplôhduwablapan	1	0.8
ace	03	lhèë	lhèë	0	0.0
ace	04	peuët	namplôhpeuëtblapan	1	0.7222222222222222
ace	05	limong	limongblapan	1	0.5
ace	06	nam	tujôhnamblapan	1	0.7857142857142857
ace	07	tujôh	lhèëplôhtujôhtujôh	1	0.7222222222222222
ace	08	lapan	peuëtplôhlapanblapan	1	0.75
ace	09	sikureuëng	limongblapan	1	0.9166666666666666
ace	10	siplôh	duwablaplôhblah	1	0.7333333333333333
ace	11	siblah	siplôhsa	1	0.5
ace	12	duwablah	siplôhduwa	1	1.0
ace	13	lhèëblah	siplôhlhèë	1	0.9
ace	14	peuëtblah	siplôhpeuët	1	0.9090909090909091
ace	15	limongblah	siplôhlimong	1	0.8333333333333334
ace	16	namblah	siplôhnam	1	0.8888888888888888
ace	17	tujôhblah	siplôhtujôh	1	0.7272727272727273
ace	18	lapanblah	siplôhlapan	1	0.7272727272727273
ace	19	sikureuëngblah	siblaplôhsikureuëng	1	0.6842105263157895
ace	20	duwaplôh	duwaplôh	0	0.0
ace	21	duwaplôhsa	duwaplôhsa	0	0.0
ace	22	duwaplôhduwa	duwaplôhduwa	0	0.0
ace	23	duwaplôhlhèë	duwaplôhlhèë	0	0.0
ace	24	duwaplôhpeuët	duwaplôhpeuët	0	0.0
ace	25	duwaplôhlimong	duwaplôhlimong	0	0.0
ace	26	duwaplôhnam	duwaplôhnam	0	0.0
ace	27	duwaplôhtujôh	duwaplôhtujôh	0	0.0
ace	28	duwaplôhlapan	duwaplôhlapan	0	0.0
ace	29	duwaplôhsikureuëng	duwaplôhsikureuëng	0	0.0
ace	30	lhèëplôh	lhèëplôh	0	0.0
ace	31	lhèëplôhsa	lhèëplôhsa	0	0.0
ace	32	lhèëplôhduwa	lhèëplôhduwa	0	0.0
ace	33	lhèëplôhlhèë	lhèëplôhlhèë	0	0.0
ace	34	lhèëplôhpeuët	lhèëplôhpeuët	0	0.0
ace	35	lhèëplôhlimong	lhèëplôhlimong	0	0.0
ace	36	lhèëplôhnam	lhèëplôhnam	0	0.0
ace	37	lhèëplôhtujôh	lhèëplôhtujôh	0	0.0
ace	38	lhèëplôhlapan	lhèëplôhlapan	0	0.0
ace	39	lhèëplôhsikureuëng	lhèëplôhsikureuëng	0	0.0
ace	40	peuëtplôh	peuëtplôh	0	0.0
ace	41	peuëtplôhsa	peuëtplôhsa	0	0.0
