language	MDL
ace	32
afr	39
aka_akuapem	19
aka_asante	23
amh	20
arb	44
asm	55
awa	75
aze_az	20
aze_ir	20
bam	36
ban	42
bar	33
bbc	29
bel	31
ben	65
bgc	76
bgn	43
bjn	43
bmw	34
bod	31
brx	22
bug	38
bul	39
cat_es	43
cat_valencia	48
ceb_austronesian	36
ceb_spanish	38
ces	39
ckb_arabic	39
ckb_latin	41
cmn_simplified	19
cmn_traditional	19
cos	42
ctg	73
cym	27
dan	38
dcc	58
deu	35
dgo	67
dzo	33
ell	34
eng_in	33
eng_us	33
epo	23
est	33
eus	43
fil	47
fin	29
fra_ch	41
fra_fr	37
fry	39
ful	39
gla	43
gle	22
glg	46
gom	73
grn	29
guj	72
hat	46
hau	40
haw	49
heb_no_diacritics	32
heb_with_diacritics	42
hil	59
hin	75
hmn	37
hne	86
hoj	76
hrv	36
hun	33
hye	38
ibo	34
ilo	26
ind	31
isl	48
ita	40
jav	40
jpn	28
kan	49
kas	81
kat	48
kaz	20
khm	36
kin	48
kir	18
kor	28
lao	29
lat	34
lav	42
lim	25
lit	38
lmo	42
ltz	34
mad	30
mag	70
mai	74
mak	33
mal	57
mar	74
mel	NA
min	32
mkd	40
mlg	41
mlt	43
mon	38
mos	43
mri	34
mui	32
mup	70
mwr	77
mya	33
nap	48
nld	34
npi	75
nso	16
nya	39
ori	65
orm	41
pag	49
pam	38
pcm	33
pes	36
pnb_in	71
pnb_pk	51
pol	31
por_br	54
por_pt	46
pus	26
que_quechua	34
que_spanish	39
rkt	67
ron	41
run	45
rus	31
san	47
sas	25
scn	45
sin	32
skr_no_diacritics	61
skr_with_diacritics	91
slk	37
slv	36
smo	31
sna	39
snd	53
som	44
sot	41
spa	51
sqi	44
srd	38
srp	38
sun	37
swa	46
swe	37
syl	68
tam	51
tat	21
tel	44
tgk	40
tha	29
tks	NA
tsn	17
tts	32
tuk	18
tur	20
uig	21
ukr	34
urd	56
uzb	20
vec	50
vie_north	34
vie_south	37
war	39
wne	NA
wol	36
xho	38
yid	46
yor	61
yue	19
zlm	27
zul	37
