language	number	surprisal
Adi	1	1.5624370565973693
Adi	2	1.6267778740047525
Adi	3	1.9883014832652681
Adi	4	1.7698872885775738
Adi	5	1.590822074465457
Adi	6	1.6356111077619757
Adi	7	1.4789252571191254
Adi	8	1.7194895181376257
Adi	9	2.036874366914854
Adi	10	1.3973514890950465
Adi	11	0.3651345605798414
Adi	12	0.35059664503804056
Adi	13	0.44693454176816316
Adi	14	0.3797097657865687
Adi	15	0.36350913119914613
Adi	16	0.3377484592816943
Adi	17	0.36813446677120487
Adi	18	0.4089211701422646
Adi	19	0.4641087445222798
Adi	20	0.3642660353972208
Adi	21	0.4081077568684767
Adi	22	0.4012182174944481
Adi	23	0.4704315520595791
Adi	24	0.41921267512122135
Adi	25	0.4048623298129913
Adi	26	0.38724215587941224
Adi	27	0.4067714045453611
Adi	28	0.43589433502015207
Adi	29	0.48093334644391894
Adi	30	0.5200541259387126
Adi	31	0.4792846921013319
Adi	32	0.4682081850218646
Adi	33	0.5471311072825733
Adi	34	0.4903896103540765
Adi	35	0.47280394980798945
Adi	36	0.4584190911122675
Adi	37	0.47471302454035924
Adi	38	0.50789507080949
Adi	39	0.5481167933527645
Adi	40	0.4108470285948657
Adi	41	0.42168584749804666
Adi	42	0.4106093404185794
Adi	43	0.484009642689149
Adi	44	0.43675016334042926
Adi	45	0.41557289458185914
Adi	46	0.40082024650898224
Adi	47	0.4197323092372232
Adi	48	0.4529143555063541
Adi	49	0.49389425113578106
Adi	50	0.3829790239771857
Adi	51	0.4133130543983009
Adi	52	0.40274002491335475
Adi	53	0.4728039498079895
Adi	54	0.4216628637165627
Adi	55	0.41415620338309045
Adi	56	0.39339588981783025
Adi	57	0.4118430044340337
Adi	58	0.44369374136437917
Adi	59	0.48278051407613254
Adi	60	0.3437089381870667
Adi	61	0.39609529592116516
Adi	62	0.499998194525383
Adi	63	0.45841909111226753
Adi	64	0.4072002141739097
Adi	65	0.39339588981783025
Adi	66	0.37687712222770237
Adi	67	0.3953049645502
Adi	68	0.387235320947706
Adi	69	0.46946690644875777
Adi	70	0.38831994768496736
Adi	71	0.4152221291306706
Adi	72	0.5144021687074241
Adi	73	0.47471302454035924
Adi	74	0.42582227837192677
Adi	75	0.41184300443403365
Adi	76	0.3953049645502
Adi	77	0.41644117342925585
Adi	78	0.4059502863843496
Adi	79	0.4854617303631542
Adi	80	0.37065788623693713
Adi	81	0.391031999931254
Adi	82	0.48527011139719944
Adi	83	0.45052289534094253
Adi	84	0.4016321491725101
Adi	85	0.3888160083075077
Adi	86	0.8729952376095124
Adi	87	0.390530691465554
Adi	88	0.38705641984378003
Adi	89	0.4614682011076528
Adi	90	0.5380905982040776
Adi	91	0.4269906205769148
Adi	92	0.5261706601536682
Adi	93	0.48572334290045077
Adi	94	0.43759076981817097
Adi	95	0.4230998223391368
Adi	96	0.4070734559964441
Adi	97	0.42741826656125387
Adi	98	0.41720710428945273
Adi	99	0.503157430578989
AgamNyishi	1	2.0291582253727047
AgamNyishi	2	3.5061808656892293
AgamNyishi	3	3.322465584938333
AgamNyishi	4	2.140767440201446
AgamNyishi	5	3.5061808656892293
AgamNyishi	6	1.635521282215863
AgamNyishi	7	2.037662324312239
AgamNyishi	8	2.1861709358824353
AgamNyishi	9	1.3254699561036278
AgamNyishi	10	1.8548921095333935
AgamNyishi	11	0.9279826387608694
AgamNyishi	12	1.2175746641414142
AgamNyishi	13	1.1388395438196013
AgamNyishi	14	0.8471489430760416
AgamNyishi	15	1.2175746641414142
AgamNyishi	16	0.785379139153169
AgamNyishi	17	0.8121769444572249
AgamNyishi	18	0.8698506909165362
AgamNyishi	19	0.7075886405422267
AgamNyishi	20	0.5588190065392883
AgamNyishi	21	0.6100347708755876
AgamNyishi	22	0.5811831077437323
AgamNyishi	23	0.5434661290571388
AgamNyishi	24	0.5361695076601193
AgamNyishi	25	0.5893949492448628
AgamNyishi	26	0.5222787711170026
AgamNyishi	27	0.5387697282271909
AgamNyishi	28	0.5501398140235005
AgamNyishi	29	0.4910634768696944
AgamNyishi	30	1.2187712839166485
AgamNyishi	31	0.566983468190491
AgamNyishi	32	0.5427560380026749
AgamNyishi	33	0.4968272178149508
AgamNyishi	34	0.4931182049750227
AgamNyishi	35	0.5427560380026749
AgamNyishi	36	0.47922746843190617
AgamNyishi	37	0.4957184255420944
AgamNyishi	38	0.5070885113384039
AgamNyishi	39	0.45108726723353343
AgamNyishi	40	1.2644919442745979
AgamNyishi	41	0.5807207023810181
AgamNyishi	42	0.5576380417090793
AgamNyishi	43	0.5117092215213552
AgamNyishi	44	0.5068554391655499
AgamNyishi	45	0.5576380417090793
AgamNyishi	46	0.49296470262243336
AgamNyishi	47	0.5094556597326215
AgamNyishi	48	0.5157478537645973
AgamNyishi	49	0.46384327041045154
AgamNyishi	50	0.5588190065392883
AgamNyishi	51	0.6769618272793786
AgamNyishi	52	0.5973732757174331
AgamNyishi	53	0.551444455529709
AgamNyishi	54	0.5435341167117226
AgamNyishi	55	0.5891614342163026
AgamNyishi	56	0.529643380168606
AgamNyishi	57	0.5461343372787943
AgamNyishi	58	0.5575044230751038
AgamNyishi	59	0.4979020424176119
AgamNyishi	60	0.48165723842403096
AgamNyishi	61	0.7699529740009506
AgamNyishi	62	0.7141892492392737
AgamNyishi	63	0.6717934152198362
AgamNyishi	64	0.6558517463395538
AgamNyishi	65	0.7141892492392737
AgamNyishi	66	0.6404431189887771
AgamNyishi	67	0.6582662368661204
AgamNyishi	68	0.6688241736769793
AgamNyishi	69	0.6028305081299685
AgamNyishi	70	0.47481192658359
AgamNyishi	71	0.6234996740726572
AgamNyishi	72	0.5418083721375194
AgamNyishi	73	0.49941253811808184
AgamNyishi	74	0.4957837890307821
AgamNyishi	75	0.5418083721375194
AgamNyishi	76	0.48288524795503107
AgamNyishi	77	0.49180317938123996
AgamNyishi	78	0.5087562163682076
AgamNyishi	79	0.4563772082016749
AgamNyishi	80	0.3944961589307795
AgamNyishi	81	0.6274971023867771
AgamNyishi	82	1.3927428082518314
AgamNyishi	83	0.5091028471679391
AgamNyishi	84	0.5047819331485066
AgamNyishi	85	0.5514986811873767
AgamNyishi	86	0.4918833920727556
AgamNyishi	87	0.5071964236750732
AgamNyishi	88	0.5160063324637127
AgamNyishi	89	0.46477547604488445
AgamNyishi	90	0.4321081650778631
AgamNyishi	91	0.5960790599937547
AgamNyishi	92	0.5194593278568839
AgamNyishi	93	0.4800917676959774
AgamNyishi	94	0.4779929865759713
AgamNyishi	95	0.5194593278568839
AgamNyishi	96	0.46301088801204365
AgamNyishi	97	0.4802465110674335
AgamNyishi	98	0.490100585424235
AgamNyishi	99	0.44052808518321424
Angami	1	3.3312018677680038
Angami	2	1.4083915223619226
Angami	3	0.8913479581079098
Angami	4	2.0642575600447413
Angami	5	1.8036946448401003
Angami	6	1.4385317055046982
Angami	7	0.9745114755779896
Angami	8	1.1907623986669924
Angami	9	1.4496019759171883
Angami	10	1.6622132772746638
Angami	11	0.9123662259768365
Angami	12	0.8540609652079812
Angami	13	0.902134660968946
Angami	14	0.8948582539438614
Angami	15	0.7905425010555507
Angami	16	0.7667755171506858
Angami	17	0.6515318536682294
Angami	18	0.7597842936421624
Angami	19	0.8078111465534202
Angami	20	1.765259521055203
Angami	21	1.1339838189181892
Angami	22	1.118890646271714
Angami	23	1.0960500547926295
Angami	24	1.1861709031139678
Angami	25	0.9629117400099361
Angami	26	0.921907832209633
Angami	27	0.7684097214935295
Angami	28	0.8872874221788529
